id,lat,lon,mean_tmin
USC00334927,39.4086,-81.4328,6.498795855502655
USC00475563,44.5647,-91.6719,1.3860168904887178
USC00123418,41.5575,-85.8825,5.378951701427004
USC00324083,46.5203,-100.3478,-1.434258857556037
USC00113580,37.1844,-89.0658,9.116360236833902
USC00231801,38.9425,-92.3206,8.399164955509924
USW00094817,42.6631,-83.4103,4.706298129812982
USC00214106,47.2256,-95.1919,-2.2911709903970183
USC00330676,39.5475,-81.6283,5.906361252932247
USC00390043,43.4839,-99.0478,2.0026315789473688
USC00477314,42.7264,-88.2267,2.828914426431355
USC00252020,40.6092,-96.8719,5.115958519372029
USC00474546,42.8278,-90.7889,3.2656816932380437
USW00014817,44.2656,-85.3967,1.7512410369553237
USC00148495,39.0147,-99.8722,5.190308795147505
USC00150290,38.77,-84.0128,7.253689492325858
USC00202851,43.0378,-83.7694,3.6445612559573863
USC00052947,40.6483,-102.8594,1.8385491939966654
USW00094929,46.5467,-90.9183,-0.24401263389178757
USC00122309,38.4558,-86.6983,5.780715419010531
USC00147050,38.9617,-101.1664,3.557162745371015
USW00004927,43.6767,-92.1797,3.1480944712828767
USC00477349,44.6272,-89.3061,0.9993074204946994
USC00111302,38.0825,-88.1733,7.509887541989192
USC00336650,40.1311,-84.2344,6.372587752621183
USC00137147,43.4289,-96.1689,1.9370707488622265
USW00094895,40.2344,-85.3936,6.649275961936285
USC00234694,38.2042,-92.6233,8.775791261386445
USC00237506,37.6339,-91.5361,7.729460161662816
USC00469683,38.5278,-81.9153,7.148141618921698
USC00232981,37.7481,-92.1053,7.219858611825194
USC00325754,46.3911,-97.2392,0.06908164709211823
USW00014891,40.8203,-82.5178,5.561178082191785
USC00235834,37.1542,-92.2619,7.5384997242140095
USC00477208,43.8333,-88.8425,6.343507588532887
USW00014936,44.3792,-98.2228,1.723764544832307
USC00327027,48.0356,-98.0097,-1.1309636169888886
USC00238746,38.5417,-90.975,6.833357637623044
USC00147271,38.4747,-100.9175,3.92580600905474
USC00151895,37.83,-84.0347,6.5857880732508995
USC00254903,41.2661,-102.6586,0.45791784702549615
USW00014826,42.9669,-83.75,4.133552361396304
USC00212881,45.3317,-92.8983,1.3058169246956266
USR0000SPIN,43.29,-102.2711,3.4998050953640543
USW00014972,43.1683,-95.21,2.1963365927558205
USC00143954,37.2364,-95.7003,8.096759961395286
USC00114198,40.4664,-87.685,6.0855741329280075
USC00472869,42.905,-88.8589,3.3541094007696532
