longitude,latitude
-105.2265,39.8681
-77.6197,37.6324
89.47,26.15
-111.2206,34.2675
147.6658,-41.5353
-88.5,39.8
-121.3467,37.6819
-73.9429,42.765
-97.3122,32.33
-88.7808,40.6408
141.4,-37.3
-95.9726,40.1399
-95.8167,38.8
-122.0239,47.7897
139.0,-35.2
-109.9831,40.2864
-80.4506,39.1303
116.0656,-32.0394
-82.7924,34.8295
-93.0085,45.2412
-122.3335,48.8494
-95.3083,43.4033
-116.9537,33.9667
-117.9458,34.1208
-123.7009,39.1547
-95.2062,39.1932
-112.3333,46.2667
-156.3,20.8667
152.8333,-25.2833
-122.6669,47.3316
-94.6023,35.9529
-123.0167,38.8167
-98.2667,20.15
-101.1772,30.0047
-75.74,4.813
140.7536,-25.6883
-92.4867,44.8975
142.6817,-25.1806
-37.25,-4.83
-88.4833,46.7833
9.8783,53.7344
-97.7489,45.7886
74.87,35.37
149.2794,-36.5112
-88.2327,41.7432
-97.7644,30.4859
-119.7331,38.9441
-91.4759,33.7721
-97.9519,34.9678
-105.6797,36.3559
-95.0494,36.4725
-97.8255,30.4666
-85.5674,38.3017
-95.1039,37.175
-83.8965,30.8176
-46.9,-23.97
-96.7833,29.7
139.1869,-33.9725
147.2418,-33.9262
-82.3076,34.813
-104.8119,39.6328
-52.72,-4.67
150.9333,-30.7667
153.0217,-27.4667
-82.3412,28.1779
15.72,65.8
140.45,-37.4833
79.52,29.22
-104.9311,40.1014
-102.8061,49.1756
-78.1822,38.9039
-72.6667,45.0333
-120.4124,38.1652
-101.0286,29.4608
-116.556,48.2671
-97.938,29.5613
-101.55,19.6667
-71.9833,45.8167
-100.7667,20.6167
-77.6762,35.3007
-94.0667,58.7333
148.4783,-25.5831
-77.2363,36.5167
-94.9078,30.6497
-108.3934,43.0196
19.05,63.33
-50.02,-25.22
-81.9065,30.0403
-113.2833,54.7167
-90.7752,39.065
-112.8266,49.6926
151.355,-29.7183
-71.5036,41.4479
-72.2667,42.1667
-94.1638,32.3821
-43.78,-6.18
-124.0725,44.4936
130.9829,-12.3602
-101.5442,39.6194
-76.8917,36.0175
-107.0833,52.5
-88.7239,34.1647
-98.0436,30.8207
-76.1333,41.3
86.88,22.22
-94.3558,38.9389
-95.75,18.45
-85.5047,41.2644
-145.5333,61.2
-86.6456,36.4511
-93.65,38.75
-87.0608,41.4603
-108.1083,34.0164
-81.7809,24.5572
-36.67,-7.8
-84.8332,38.5305
-103.3667,48.2833
-82.4965,28.0687
-83.5603,36.465
-95.8466,30.1668
-102.8236,36.7344
152.05,-26.95
-119.96,38.68
-103.3849,34.155
67.161,24.907
-117.7111,33.8081
-90.8199,34.7841
-96.8016,43.5314
-87.7486,39.0068
-123.5106,42.4489
-93.2109,30.2308
-97.2725,37.5389
117.61,-33.4836
29.28,-27.92
-35.93,-5.95
-82.3171,29.6555
-117.65,34.0667
-84.9344,30.1694
-72.3307,41.3001
-120.15,47.3833
-120.1819,44.61
-78.0833,42.9833
138.6364,-33.4211
-119.8333,53.1667
-93.4825,44.8656
-122.3585,40.6261
-122.0167,37.9833
-87.2033,30.4361
-97.4068,42.086
-98.915,30.1567
-77.4333,38.8833
-75.8913,40.2102
-91.9667,32.9
-73.5715,42.6397
-81.2228,34.1477
-98.3428,35.5375
-94.8226,37.3485
-82.5216,35.6483
-82.9861,32.4642
-105.1171,39.6469
-58.45,54.7667
103.994,1.35
-101.8151,46.6199
-62.0833,46.4
46.33,55.18
26.1,-26.42
-111.0312,32.2254
-156.7,20.9333
-95.87,39.0645
-72.0049,42.5729
-112.6333,49.7167
15.81,56.04
-92.7524,46.0539
-104.9133,39.5497
-97.0545,28.0436
3.275,51.9978
-91.7554,37.8559
134.7503,-23.3732
126.65,51.717
-99.6944,38.4405
151.6511,-33.0831
142.5811,-35.6071
-93.2938,44.6911
-102.0718,50.6578
-122.2781,42.1058
-114.0333,55.1667
131.0507,-12.8003
-77.0735,39.1438
-104.5833,30.0333
-91.25,43.8167
